epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,11559.4,1.16054,1.91294,1.49756,0.01362,1.4016,0.60882,0.6323,0.6366,0.43894,0.62048,0.61472,0.62202,0.38141,1.22556,2.14104,1.40045,0.01998,0,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
77,11708.8,1.15225,1.90479,1.51,0.0134,1.42591,0.59437,0.6205,0.63027,0.44006,0.59601,0.61123,0.61545,0.38155,1.22879,2.20637,1.41295,0.0199,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
78,11858.9,1.15995,1.93128,1.5281,0.01339,1.4184,0.64579,0.61381,0.63549,0.44096,0.64549,0.60874,0.62222,0.38426,1.24262,2.15229,1.42539,0.02031,0,0.0242827,0.00809425,0.0242827,0.00809425,0.0242827,0.00809425,0.0242827,0.00809425
79,12009.1,1.14978,1.91019,1.49345,0.01344,1.39964,0.63312,0.61775,0.64055,0.44246,0.63214,0.61361,0.62996,0.38288,1.22341,2.16157,1.4148,0.01992,0,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
80,12159.2,1.13872,1.88416,1.47287,0.01338,1.35576,0.65104,0.61611,0.64871,0.44718,0.64974,0.6103,0.63593,0.38863,1.21873,2.10166,1.39762,0.01992,0,0.0241342,0.00804475,0.0241342,0.00804475,0.0241342,0.00804475,0.0241342,0.00804475
81,12308.5,1.14735,1.88854,1.48431,0.01309,1.37809,0.62967,0.60975,0.63673,0.44405,0.62434,0.62459,0.6289,0.38196,1.21822,2.13514,1.40595,0.01994,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
82,12458.3,1.1269,1.84881,1.44985,0.01318,1.30869,0.59164,0.63971,0.63597,0.43945,0.60674,0.62602,0.62911,0.37908,1.23103,2.19314,1.41797,0.01988,0,0.0239858,0.00799525,0.0239858,0.00799525,0.0239858,0.00799525,0.0239858,0.00799525
83,12608.4,1.13636,1.89254,1.47848,0.01334,1.3852,0.59745,0.6152,0.63259,0.4409,0.6057,0.60551,0.62365,0.38128,1.21164,2.16448,1.42186,0.01937,0,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
84,12758.3,1.13444,1.86462,1.45653,0.01307,1.36208,0.63327,0.60968,0.64199,0.44449,0.63068,0.60323,0.62948,0.38576,1.2395,2.17801,1.40581,0.02025,0,0.0238373,0.00794575,0.0238373,0.00794575,0.0238373,0.00794575,0.0238373,0.00794575
85,12908.6,1.12262,1.85572,1.44111,0.01309,1.34772,0.65711,0.60497,0.64878,0.44842,0.66332,0.60183,0.64099,0.38919,1.23459,2.16804,1.40071,0.02015,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
86,13058,1.13186,1.8933,1.4737,0.01289,1.35556,0.64778,0.6225,0.65675,0.4531,0.64249,0.61947,0.64197,0.39226,1.21981,2.16813,1.3689,0.01972,0,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
87,13207.8,1.14155,1.8755,1.45338,0.01349,1.34622,0.63824,0.62059,0.65349,0.45285,0.65028,0.61057,0.63991,0.39229,1.23024,2.19326,1.38186,0.01996,0,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
